Timestamp,receiving pause,receiving turning,receiving brightening,receiving blinking,receiving circling,receiving _eyes,receiving _behaviors,respect pause,respect turning,respect brightening,respect blinking,respect circling,respect _eyes,respect _behaviors,willing pause,willing turning,willing brightening,willing blinking,willing circling,willing _eyes,willing _behaviors,exp with robot,"If you have experience with robots, could you write a short description about it?","Do you own a consumer robot like UNISROBO, KIROBO or Roomba?",Which of the following would you prefer to ask for information?,"If each of the following could help you to conduct a task with labor work, which would you prefer to ask for help?",Your age,Your gender,What's your student major?,"In general, how much do you have eye contact with speaker in a conversation.",Do you own a dog?,How much do you use voice assistant such as Amazon Echo/Google Home/Google Voice/Siri,Do you have experience as a waiter/waitress?,Do you have experience as a volunteer?,Will you interrupt someone in a conversation with others to ask for help?,Do you own a cat?
4/11/17 18:50,6,6,5,5,4,2,2,7,6,6,6,4,2,2,6,6,6,6,3,2,2,4,Have only seen turtlebot in action,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,6,No,Yes,No,No
4/11/17 18:57,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,7,7,4,n/a,No,"Search Engine like Google, Bing",My mother,21,Female,ECE,4,Yes,2,No,Yes,Yes,No
4/11/17 18:58,6,7,5,5,5,1,2,2,5,5,5,3,3,4,6,7,7,3,2,3,2,4,Work in the behavioral assessment and mechanical side of human robot interaction,No,Human,Human,30,Male,Mechanical engineering,6,Yes,2,No,Yes,Maybe,No
4/11/17 19:07,7,7,7,4,1,5,1,6,6,6,3,2,3,2,7,7,7,3,3,3,1,3,Just basic experience.,No,"Search Engine like Google, Bing",Human,21,Male,Computer Science,6,No,5,No,No,No,No
4/11/17 19:20,5,5,5,3,3,3,2,5,5,5,4,4,3,3,5,5,5,3,3,3,2,3,Robotics classes at CU,No,"Search Engine like Google, Bing",Human,25,Female,Computer Science,3,Yes,1,No,Yes,No,Yes
4/11/17 19:29,7,7,6,7,7,1,1,5,7,6,6,7,2,2,7,7,6,6,7,1,1,2,I have no experience with robots other than being surrounded by them in Iron Lab,No,"Search Engine like Google, Bing",Robot,21,Female,Computer Science,6,Yes,4,No,Yes,Maybe,No
4/11/17 20:12,7,7,1,2,5,1,2,6,6,1,3,2,4,4,6,6,6,4,6,4,4,6,Not humanoid robot.,No,"Search Engine like Google, Bing",Robot,29,Male,Computer Science,6,No,5,No,Yes,No,No
4/11/17 20:21,2,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,I am developing a simple app on iRobot (roomba),No,"Search Engine like Google, Bing",Human,31,Female,Computer Science,7,No,1,Yes,Yes,Yes,Yes
4/11/17 20:34,7,3,6,7,3,1,4,5,7,5,6,3,1,4,7,7,5,6,3,1,4,2,I didn't have this kind of experience.,No,"Search Engine like Google, Bing",Robot,22,Female,Computer Science,7,Yes,2,No,Yes,No,No
4/11/17 20:41,7,7,7,7,7,1,1,7,7,7,7,7,1,1,7,7,7,7,7,1,1,3,played with Nao twice,No,"Search Engine like Google, Bing",Robot,28,Male,Computer Science,4,No,1,No,Maybe,Yes,No
4/11/17 20:42,7,7,7,4,3,4,4,5,5,6,4,3,6,5,4,6,6,5,3,5,5,1,no experiences,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,3,No,2,No,Yes,Yes,No
4/11/17 20:56,4,7,5,7,5,1,2,7,7,3,6,6,2,2,6,7,7,7,2,1,1,2,Smart and advanced.,No,"Search Engine like Google, Bing",Human,23,Male,Computer Science,7,No,5,No,Yes,Yes,No
4/11/17 21:41,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,swarm robotic ,No,Robot,Robot,20,Female,Electrical engineer ,6,No,4,No,Yes,Maybe,No
4/11/17 21:55,5,6,7,6,5,2,1,5,6,7,6,3,3,3,7,7,6,6,5,3,2,2,no,No,"Search Engine like Google, Bing",Robot,26,Female,Computer Science,6,Yes,2,Yes,Yes,Maybe,No
4/11/17 22:09,6,3,3,6,4,1,1,7,7,4,7,4,1,1,7,7,4,7,4,1,1,1,n/a,No,Human,Human,26,Female,Economics,7,No,1,No,Yes,Yes,No
4/12/17 9:37,6,5,7,4,3,2,5,6,6,6,4,4,6,6,6,6,6,6,4,4,6,2,No I don't ,No,"Search Engine like Google, Bing",Robot,23,Female,Computer Science,6,No,2,No,Yes,Yes,No
4/12/17 11:18,2,5,5,3,2,2,2,5,5,2,2,1,4,3,5,5,2,1,1,3,3,6,I programmed a few of them,No,Human,Human,26,Male,Computer science,3,No,6,No,Yes,Yes,Yes
4/12/17 12:25,5,5,5,2,2,4,2,3,2,2,2,2,2,2,5,5,5,4,4,4,4,1,No experience ,No,"Search Engine like Google, Bing",Internet and book ,26,Male,Mathematics,4,No,1,No,Yes,Maybe,No
4/12/17 15:23,7,6,5,7,5,1,1,6,5,5,6,5,1,1,6,7,7,6,6,1,1,5,Play around with NAO.,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,1,No,No,Yes,No
4/12/17 15:25,6,7,4,4,7,1,1,7,5,4,6,6,3,2,7,7,6,7,5,1,1,5,Write code for Baxter,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,No,3,No,Yes,Yes,No
4/12/17 15:27,4,7,7,6,7,2,2,6,5,5,5,6,1,1,7,6,5,6,7,1,1,1,Not yet,No,"Search Engine like Google, Bing",Human,24,Female,Economics,7,Yes,2,No,Yes,No,Yes
4/12/17 15:28,5,7,7,7,7,2,1,6,6,5,5,6,3,1,6,7,6,5,6,1,1,5,Use it to clean my room,Yes,Human,Human,26,Male,Electrical engineer ,6,No,2,No,Yes,Yes,No
4/12/17 15:30,5,6,6,6,7,1,2,7,7,5,6,6,1,1,7,7,7,7,6,1,1,1,Not yet,No,"Search Engine like Google, Bing",Human,22,Female,Mathematics,6,No,2,No,No,Yes,No
4/12/17 15:32,7,7,7,6,6,1,1,7,5,5,6,5,2,1,7,6,5,5,6,1,1,4,Tried drone before,No,"Search Engine like Google, Bing",Robot,24,Male,Electrical engineer ,6,Yes,4,No,Yes,Yes,No
4/12/17 15:33,5,7,7,6,6,2,1,6,7,6,7,5,1,1,7,7,4,5,5,2,2,3,No,No,Human,Human,26,Female,Mechanical engineering,7,No,2,No,No,Yes,No
4/12/17 15:35,5,7,6,7,7,2,1,7,7,6,6,6,1,2,7,6,6,5,5,2,2,5,Just played around with Baxter,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,7,No,2,No,No,Maybe,No
4/12/17 15:37,6,6,7,6,7,1,1,7,7,5,6,6,1,1,7,7,6,6,6,2,2,2,Talked to NAO before,No,"Search Engine like Google, Bing",Human,25,Male,Electrical engineer ,5,No,1,No,No,Maybe,No
4/12/17 15:39,6,6,6,4,6,2,2,7,7,4,4,4,1,1,7,6,5,6,6,1,1,2,No experience,No,Human,Human,22,Male,Mechanical engineering,6,No,2,No,No,Yes,No
4/12/17 15:41,7,7,5,5,6,1,1,7,7,5,6,6,1,1,7,6,6,5,6,1,1,1,I have no experience,No,"Search Engine like Google, Bing",Human,29,Female,Economics,7,Yes,2,No,No,Yes,No
4/12/17 15:42,6,6,6,5,5,2,2,7,7,5,6,5,1,1,7,7,5,6,5,1,2,5,Programmed droplets,No,"Search Engine like Google, Bing",Robot,27,Male,Computer Science,6,No,2,No,Yes,No,No
4/12/17 15:46,6,6,5,6,6,1,1,7,6,7,6,6,2,1,7,6,7,7,7,1,1,3,Played drones with some of my friends,No,"Search Engine like Google, Bing",Robot,25,Male,Electrical engineer ,7,No,2,No,No,Maybe,No